Entry,status,embl_xref,embl_protein_id
Q47PQ7,ok,CP000088,AAZ55562.1
Q0AC59,efetch_failed,CP000453,ABI55578.1
P0CO40,ok,AE017347,AAW44468.2
Q9VHH9,ok,AE014297,AAF54335.2
Q6BXJ4,ok,CR382134,CAG85063.2
Q5AW75,ok,AACD01000129,EAA62035.1
A0LH38,ok,CP000478,ABK16740.1
Q640I9,ok,BC073414,AAH73414.1
Q0C438,ok,CP000158,ABI77512.1
Q0ALV0,ok,CP000449,ABI66743.1
A2BMW0,ok,CP000493,ABM81321.1
A4YYA7,ok,CU234118,CAL78883.1
A0Q6W0,ok,CP000439,ABK89975.1
B7VB62,ok,FM209186,CAW28239.1
Q1H190,ok,CP000284,ABE49747.1
Q9HRF0,ok,AE004437,AAG19208.1
Q929X1,ok,AL596171,CAC97382.1
A5FZ26,ok,CP000697,ABQ30858.1
P0DC92,ok,AE014074,AAM79184.1
Q8ZC51,ok,AL590842,CAL21766.1
Q9KPQ9,ok,AE003852,AAF95451.1
A1KV38,efetch_failed,AM421808,CAM10739.1
Q9W3U1,ok,AE014298,AAF46222.2
Q55DL2,ok,AAFI02000005,EAL72640.1
P40481,ok,Z38125,CAA86270.1
Q2KIJ2,ok,BC112618,AAI12619.1
Q68KK0,ok,GL762181,EFZ21865.1
P0DSI2,no_embl_cds_xref,,
Q9UTQ8,ok,CU329670,CAB59881.1
P18952,ok,X66505,CAA47137.1
Q6Q252,ok,AY566645,AAS67041.1
P0DX85,ok,AXQR01000012,ERW74313.1
O06835,ok,Z92524,CAB06824.1
S4S3E3,ok,HM627755,AEI98660.1
Q8RQP9,ok,AB081773,BAB86379.2
Q0S808,ok,CP000431,ABG96328.1
Q86AG8,ok,AAFI02000007,EAL71441.1
O14192,ok,CU329670,CAB16394.1
H3ZPL1,ok,CP006670,EHR78055.1
Q6F9F5,efetch_failed,CR543861,CAG69309.1
D4B5H9,ok,ABSU01000041,EFE29423.1
O94570,ok,CU329671,CAA21918.1
Q9Y7S6,ok,CU329672,CAB42068.1
D1L2Y9,ok,GQ413938,ACY66718.1
Q5AAU5,ok,CP017623,AOW26348.1
N1P212,ok,CM001537,EIW07140.1
C5FBW2,ok,DS995701,EEQ27296.1
P78617,ok,U75428,AAB57642.1
Q4WGU1,ok,AAHF01000009,EAL86850.2
Q70GH4,ok,AAHF01000002,EAL92685.2
C5FHK0,ok,DS995702,EEQ28740.1
Q07703,ok,L10425,AAA22978.1
Q4WQU0,ok,AAHF01000005,EAL89394.1
A2RM21,ok,AF131880,AAF14693.1
P53780,ok,AL138655,CAB72175.1
Q01128,ok,Z68292,CAA92584.1
P18949,ok,AE006468,AAL22035.1
Q4L332,ok,AP006716,BAE05945.1
A3DDS6,ok,CP000568,ABN52105.1
Q875I3,ok,AY198188,AAO19636.1
O13504,ok,AJ001000,CAA04452.1
P43073,ok,X78466,CAA55217.1
P96188,ok,U77781,AAD13686.1
P43641,ok,X76192,CAA53786.1
P25240,ok,M74821,AAA23388.1
Q57596,ok,L77117,AAB98113.1
P08957,ok,X06545,CAA29792.1
Q8K912,ok,AE013218,AAM68089.1
C4L274,ok,CP001615,ACQ71126.1
Q98PH2,ok,AL445565,CAC13923.1
Q88ZS1,ok,AL935263,CCC77766.1
P0DW59,ok,JEYH01000003,EXE88617.1
A7Z1E8,ok,CP000560,ABS72824.1
Q9I739,ok,AE004091,AAG03483.1
A0A1V0HUU2,ok,CP020384,ARC87742.1
O05442,ok,AL123456,CCP46732.1
Q8D2H8,ok,BA000021,BAC24522.1
Q2P7U1,ok,AP008229,BAE67386.1
A0A5B8Z1N3,ok,CP042593,QED46885.1
Q9RER4,ok,AF212103,AAF23014.1
Q1IYK9,ok,CP000359,ABF45675.1
Q8ELK1,ok,BA000028,BAC15182.1
P42176,ok,Z49884,CAA90046.1
P19318,ok,X17110,CAA34965.1
P0AF32,ok,X17110,CAA34967.1
P42177,ok,Z49884,CAA90048.1
I3R9M8,ok,AJ621881,CAF21907.1
O54029,ok,AJ002015,CAA05138.1
Q56724,ok,Z24754,CAA80873.1
Q57490,ok,Z24754,CAA80874.1
O54030,ok,AJ002015,CAA05139.1
A1VIL5,ok,CP000529,ABM35493.1
Q3J6V6,ok,CP000127,ABA59440.1
Q3SM42,ok,CP000116,AAZ96208.1
O54031,efetch_failed,AJ002015,CAA05140.1
P08309,ok,M16697,AAA33624.1
Q86I79,ok,AAFI02000007,EAL71475.1
P35150,ok,M84227,AAA22377.1
P39042,ok,X59965,CAA42591.1
P39045,ok,X64790,CAA46023.1
P08075,ok,Y00459,CAA68514.1
B8FNN4,ok,CP001322,ACL06315.1
P95778,ok,D78182,BAA11247.1
Q9RR29,ok,AF055579,AAD55453.1
P55464,ok,U00090,AAB91682.1
P61887,ok,M87049,AAA67589.1
Q56002,ok,L41665,AAB38543.1
P77619,efetch_failed,U00096,AAC75483.2
P77985,ok,Y07614,CAA68887.1
Q39218,ok,AP000375,BAB01402.1
Q10QH1,ok,DP000009,ABF94457.1
Q0AIM3,ok,CP000450,ABI58803.1
C5BLJ8,ok,CP001614,ACR11399.1
A9I0E6,ok,AM902716,CAP40749.1
B3PFK3,ok,CP000934,ACE85938.1
Q31EJ2,ok,CP000109,ABB42431.1
P55394,ok,U00090,AAB92427.1
P23145,efetch_failed,M60090,AAA22162.1
P52989,ok,U22823,AAB18141.1
P54291,ok,U11811,AAA82725.1
Q46968,ok,U45854,AAA86841.1
O27002,ok,AE000666,AAB85416.1
Q58571,ok,L77117,AAB99173.1
P61154,no_embl_cds_xref,,
O87970,ok,AF079135,AAC28701.1
P0CW42,ok,AF029842,AAB82591.1
P94365,ok,D83026,BAA11728.1
P94364,ok,D83026,BAA11727.1
Q09049,ok,M77787,AAA22123.1
P0ABK2,ok,U00096,AAC73828.1
B5ZZ10,ok,CP001191,ACI56153.1
P0ABJ9,ok,U00096,AAC73827.2
O68109,ok,AF010496,AAC16199.1
Q48943,efetch_failed,X93084,CAA63631.1
Q92UG4,ok,AL591985,CAC49567.1
Q7VNV1,ok,AE017143,AAP95347.1
P32459,ok,M64778,AAA73025.1
A1V517,ok,CP000526,ABM50555.1
A0A0K1SC59,ok,CVMV01000096,CRG97310.1
A5I0I2,ok,CP000727,ABS37648.1
Q3IF68,ok,CR954246,CAI85211.1
B4EVZ1,ok,AM942759,CAR42763.1
Q08853,ok,X71765,CAA50664.1
O55143,ok,AF029982,AAD01889.1
Q4WND5,ok,AAHF01000006,EAL88529.1
Q37145,ok,L08469,AAD10212.1
Q9RU32,ok,AE000513,AAF11127.1
P92939,ok,AC007583,AAF75073.1
O67914,ok,AE000657,AAC07880.1
Q4JAV0,ok,CP000077,AAY80079.1
B0R7K0,ok,AM774415,CAP14719.1
Q2S320,ok,CP000159,ABC45551.1
O14145,ok,CU329670,CAB16285.1
Q8SSL0,ok,AJ006825,CAA07262.1
Q1W5S8,ok,CM007650,ONM59832.1
Q6H5L4,ok,AP005525,BAD25928.1
Q9HIW7,ok,AL445066,CAC12334.1
B0U1J8,ok,CP000941,ACA11387.1
Q1BYA7,ok,CP000378,ABF75398.1
Q1QZ16,ok,CP000285,ABE58292.1
P58616,ok,BA000019,BAB74672.1
A5VQC8,ok,CP000708,ABQ60433.1
A5W2U1,ok,CP000712,ABQ78451.1
Q5P8D4,ok,CR555306,CAI06425.1
Q11FK9,ok,CP000390,ABG63816.1
Q9K266,ok,AE001363,AAD18460.1
Q48JU8,ok,CP000058,AAZ36289.1
Q89AC7,ok,AE016826,AAO27099.1
Q9ZL74,ok,AE001439,AAD06291.1
Q9PKE2,ok,AE002160,AAF39365.1
P37197,ok,U00039,AAB18494.1
A0A391NGM7,ok,BDJA01000015,GCA58263.1
B8ENH3,ok,CP001280,ACK50104.1
P14532,ok,U23766,AAC43378.1
P0DV69,ok,JAEKFT010000003,MBT0960287.1
A0A391NKV7,ok,BDJA01000015,GCA58262.1
Q8A337,efetch_failed,AE015928,AAO78224.1
Q50L43,ok,AB195276,BAD98152.1
Q9TWL9,no_embl_cds_xref,,
P07297,ok,M14363,AAB59848.1
Q50L41,ok,AB195278,BAD98154.1
Q9EPR2,ok,AY007381,AAG23336.1
A7IMW3,ok,CP000781,ABS69356.1
A8FEM3,ok,CP000813,ABV62690.1
A0PL81,ok,CP000325,ABL03100.1
Q8DJ26,ok,BA000039,BAC08955.1
A5VK00,ok,CP000705,ABQ83174.1
Q41596,ok,U30324,AAA80656.1
Q05539,ok,Z15141,CAA78846.1
H2A0L5,ok,HE610382,CCE46156.1
Q9M2U5,ok,Y14590,CAA74930.1
P29021,ok,X51427,CAA35791.1
Q9Q8L4,ok,AF170726,AAF14974.1
P24486,ok,M60400,AAA42886.1
Q98267,ok,U60315,AAC55228.1
B8ZRH2,ok,FM211192,CAR71454.1
Q9YW39,ok,AF063866,AAC97824.1
Q9YD08,ok,BA000002,BAA80089.2
Q3IKR4,ok,CR954246,CAI86295.1
P65770,ok,AL591979,CAC99664.1
A5VJ17,ok,CP000705,ABQ82841.1
Q9NBX4,ok,AF237761,AAF81411.1
P0DV59,ok,CYGJ01000003,CUA03353.1
P21329,ok,M38437,AAA28649.1
Q3TCT4,efetch_failed,AF288221,AAG01009.1
P23071,ok,M30609,AAA88323.1
Q47526,ok,Z12832,CAA78293.1
O05650,ok,X85171,CAA59455.1
Q57717,ok,L77117,AAB98256.1
P80900,ok,CP001710,ADL57920.1
Q9W4N2,ok,AE014298,AAF45915.1
P80521,ok,CP000099,AAZ69968.1
O27772,ok,AE000666,AAB86210.1
P41469,ok,L22858,AAA66699.1
Q38AH0,ok,CM000208,EAN78200.1
Q4E123,ok,AAHK01000054,EAN98495.1
B2AE04,ok,CU633455,CAP61669.1
P0C2S1,ok,AF039030,AAC06139.1
P50401,ok,CP002666,AEE46055.1
A8XYX2,efetch_failed,HE600928,CAP37839.2
B2AC20,ok,CU633447,CAP60981.1
P50899,ok,L38827,AAB00822.1
P15043,ok,M30198,AAA24517.1
B0R7Q2,ok,AM774415,CAP14771.1
O26901,ok,AE000666,AAB85310.1
Q9YFQ8,ok,BA000002,BAA79103.2
O94762,ok,CH471099,EAW89292.1
Q06592,ok,U25841,AAB64622.1
Q07794,ok,X91488,CAA62768.1
Q9M8T9,ok,AC018363,AAF26961.1
P62915,ok,BC016637,AAH16637.1
A2CDA0,ok,CP000554,ABM79460.1
Q7VE16,ok,AE017126,AAP99244.1
A9BD34,ok,CP000878,ABX08122.1
A2BNW8,ok,CP000551,ABM69479.1
Q46HJ9,ok,CP000095,AAZ59029.1
Q5KH67,ok,AE017345,AAW43547.1
Q9C1W8,ok,CU329671,CAC22608.1
P34545,efetch_failed,Z29095,CAA82353.3
Q756F2,ok,AE016818,AAS52993.2
Q6CEE7,ok,CR382128,CAG83218.1
Q6CWT7,ok,CR382122,CAH01995.1
A1A3D2,ok,AP009256,BAF40215.1
E3H7X6,ok,CP002281,ADO82928.1
A5N8M0,ok,CP000673,EDK33651.1
Q93GX3,ok,AB070957,BAB69418.1
O30405,ok,AF004286,AAB81591.1
Q31RB6,ok,CP000100,ABB56403.1
Q9FGT9,ok,AB024029,BAB10996.1
Q92L99,efetch_failed,AL591688,CAC47759.1
E3GCF1,ok,CP002272,ADO50122.1
Q4WV38,ok,AAHF01000003,EAL91538.1
A0A1D8PLH0,ok,CP017626,AOW28958.1
I1RZD0,ok,HG970335,CEF85588.1
D5V0N9,ok,CP001999,ADG93851.1
Q9KWG3,ok,AB037666,BAB07792.1
A8GD62,ok,CP000826,ABV41052.1
P24521,ok,M63648,AAA34596.1
A0B3G1,ok,CP000459,ABK12187.1
Q6LP67,ok,CR378671,CAG20909.1
C5BQC9,ok,CP001614,ACR12480.1
Q2QM00,ok,DP000011,ABA99412.2
Q9WTK8,ok,AF163052,AAD43591.1
A0A0J9WZF0,ok,AM233362,CAJ80165.1
O29322,ok,AE000782,AAB90299.1
A1SSJ9,efetch_failed,CP000510,ABM02464.1
P22447,ok,X53555,CAA37622.1
A1C9D4,ok,DS027048,EAW13458.1
Q9Y871,ok,AF164516,AAD45376.1
Q9HGR3,ok,BX842597,CAE75726.1
G2QND5,ok,CP003008,AEO62008.1
P39126,ok,U05257,AAA96342.1
Q59940,ok,U62799,AAC44826.1
D4GU92,ok,AJ251585,CAC80860.2
Q7RWX8,ok,CM002238,EAA26992.1
P0CX77,ok,U51921,AAB67481.1
O34482,ok,AB000617,BAA22230.1
P56063,ok,AE000511,AAD07098.1
P9WPX5,ok,AL123456,CCP44302.1
O14254,ok,CU329670,CAB11294.2
P50286,ok,X89215,CAA61503.1
Q9RRX9,ok,AE000513,AAF11899.1
P57324,ok,BA000003,BAB12945.1
O59730,ok,CU329671,CAA19013.1
P53582,ok,CH471057,EAX06083.1
Q8P1N3,ok,AE009949,AAL97447.1
Q9FV50,ok,Z99707,CAB16790.1
Q8G6Z9,ok,AE014295,AAN24310.1
Q48841,ok,X98238,CAA66893.1
Q9CFC3,ok,AE005176,AAK05656.1
P9WK19,efetch_failed,AL123456,CCP45662.1
A1RS58,ok,CP000504,ABL87790.1
Q9V0D5,ok,AJ248285,CAB49769.1
Q9PHY2,ok,AL111168,CAL34678.1
C4K2E2,ok,CP001227,ACR47739.1
C0R4Y0,ok,CP001391,ACN95972.1
P0DD26,efetch_failed,AE014074,AAM80370.1
Q5F4A1,ok,AJ851399,CAH65033.1
Q5RJY2,ok,AK129332,BAC98142.1
Q3T1H6,ok,BC101916,AAI01917.1
Q7Z6J8,ok,CH471051,EAW48681.1
Q6FXN3,ok,CR380948,CAG58062.1
A3LZD1,ok,CP000501,ABN68136.2
Q5A1V3,ok,CP017627,AOW29555.1
Q8ZNR3,ok,AE006468,AAL20970.1
Q6CHN5,ok,CR382127,CAG83752.2
A1D1B7,ok,DS027688,EAW22210.1
Q8T2K9,ok,AAFI02000013,EAL69694.2
P21826,ok,M28124,AAA50351.1
Q5YWU1,ok,AP006618,BAD57350.1
Q87Z72,ok,AE016853,AAO57033.1
Q54E83,ok,AAFI02000182,EAL61574.1
O22494,ok,AF017984,AAB71231.1
P35669,ok,CU329670,CAA93302.1
P46416,ok,U53856,AAA99146.1
P46413,ok,L38615,AAA64618.1
P9WK16,efetch_failed,AE000516,AAK46156.1
Q4FAT7,ok,DQ095863,AAZ03639.1
T2KN75,ok,HG315671,CDF79918.1
Q5LIC7,ok,CR626927,CAH06099.1
T2KPJ7,ok,HG315671,CDF79909.1
Q8E0N2,ok,AE009948,AAM99585.1
P37940,ok,M97391,AAA22278.1
Q5SLR4,ok,AP008226,BAD70052.1
P11178,ok,J03759,AAA30595.1
Q9LPL5,ok,AC015447,AAF87894.1
B1AJ73,ok,CP000942,ACA33025.1
B8HA07,ok,CP001341,ACL38391.1
P9WFF1,ok,U33011,AAC43475.1
C5BUP0,ok,CP001614,ACR11356.1
P94668,ok,Y10356,CAA71384.1
O45924,efetch_failed,AL021480,CAA16329.2
O81851,ok,AL024486,CAA19687.1
Q9C8D1,ok,AC026480,AAG51307.1
Q94B55,ok,AC005727,AAC79588.1
Q9SY88,ok,AC005850,AAD25548.1
D5VUB0,ok,CP002009,ADG12722.1
A2SQH8,ok,CP000559,ABN06584.1
D5EBS7,ok,CP001994,ADE36628.1
D2RES5,ok,CP001857,ADB58619.1
Q0SPE9,ok,CP000395,ABH01279.1
P32511,efetch_failed,M83827,AAA46749.1
Q2NHB2,ok,CP000102,ABC56791.1
B9DNJ4,ok,AM295250,CAL28130.1
A0AIU6,ok,AM263198,CAK20928.1
B1IC10,ok,CP000936,ACA36975.1
A0Q140,ok,CP000382,ABK61121.1
P57212,ok,BA000003,BAB12830.1
P0AFU8,ok,X69109,CAA48861.1
Q9Z820,ok,AE001363,AAD18672.1
P53218,ok,Z72815,CAA97018.1
P45273,ok,L42023,AAC23257.1
Q58360,ok,L77117,AAB98951.1
Q46BE1,ok,CP000099,AAZ70801.1
Q8TZS0,ok,AE009950,AAL82038.1
Q5V059,ok,AY596297,AAV47094.1
B9KXN0,ok,CP001275,ACM05212.1
A4G0Y9,ok,CP000609,ABO36123.1
P50854,efetch_failed,U27202,AAA86523.1
Q8K9T6,ok,AE013218,AAM67766.1
A5N8H9,ok,CP000673,EDK33610.1
Q9AV39,ok,AC025783,AAK20047.1
P0C0A0,no_embl_cds_xref,,
B8B4W4,ok,CM000132,EEC82496.1
Q69PA8,ok,AP005568,BAD33619.1
Q6ETL8,ok,AP004840,BAD28002.1
Q69L93,ok,AP005869,BAD31829.1
P13504,ok,M20658,AAA39279.1
Q9ERS7,ok,AF284433,AAG21367.1
Q86DA5,ok,BX284603,CAA90181.1
P59824,ok,AY216593,AAO62634.1
Q9RVC3,ok,AE000513,AAF10679.1
Q1AVY7,ok,CP000386,ABG04441.1
Q2LVI3,ok,CP000252,ABC78091.1
Q7UNR2,ok,BX294146,CAD75356.1
Q9Z2B1,efetch_failed,AF077347,AAC72197.1
Q18C47,ok,AM180355,CAJ68391.1
B9E6R6,ok,AP009484,BAH17884.1
C0ZBW9,ok,AP008955,BAH43278.1
Q67N40,ok,AP006840,BAD40903.1
Q8ERL9,ok,BA000028,BAC13239.1
Q3AET1,ok,CP000141,ABB13955.1
Q892D0,ok,AE015927,AAO36665.1
B0RS35,ok,AM920689,CAP51270.1
Q0TSP9,ok,CP000246,ABG82727.1
Q57956,ok,L77117,AAB98530.1
Q834L8,ok,AE016830,AAO81410.1
O29779,ok,AE000782,AAB90767.1
O27114,ok,AE000666,AAB85531.1
O53182,ok,AL123456,CCP45248.1
O29781,ok,AE000782,AAB90768.1
Q6F2A0,ok,AE017263,AAT75373.1
B2S3N6,ok,CP000805,ACD71065.1
Q97FL9,efetch_failed,AE001437,AAK80663.1
A1A0B7,ok,AP009256,BAF39150.1
A5FX43,ok,CP000697,ABQ30175.1
Q6KIJ8,ok,AE017308,AAT27578.1
Q8DLN9,ok,BA000039,BAC07991.1
A8Z5Y2,ok,CP000770,ABS30533.1
A0AZ71,ok,CP000459,ABK10697.1
P50382,ok,Z50014,CAA90308.1
A1WY05,ok,CP000544,ABM62567.1
P9WIS9,ok,AL123456,CCP45021.1
Q0J0H4,ok,AP008215,BAF25541.1
Q4UKQ7,ok,CP000053,AAY61870.1
A2CI50,ok,DQ422812,ABM87959.1
P35488,ok,M81753,AAA21908.1
Q84FH6,ok,AY196198,AAO40746.1
P42738,ok,AJ242647,CAB54518.1
D2CSU4,ok,EU751616,ACI41889.1
B4FUP5,ok,CM000781,AQK69073.1
Q9XQV2,ok,AF130032,AAD44699.1
Q7NFT5,ok,BA000045,BAC91380.1
Q9S7H4,efetch_failed,AJ242648,CAB54519.1
Q7NFT6,ok,BA000045,BAC91379.1
P05310,ok,X05423,CAA29003.1
A2CC73,ok,CP000554,ABM79083.1
Q94VK0,ok,AF407489,AAL10022.1
P24873,ok,X54253,CAA38163.1
Q70UT9,ok,AJ537415,CAD60955.1
Q36460,ok,X83427,CAA58453.1
P52478,ok,U08139,AAA83388.1
O13685,ok,CU329670,CAB11183.1
Q86K32,ok,AAFI02000019,EAL68819.2
Q95LM1,ok,AB072767,BAB69736.1
G5ED68,ok,BX284603,CAB04456.1
F4HPP7,ok,AC019018,AAG52279.1
Q9EP69,ok,AJ297526,CAC01937.1
P32368,ok,X51672,CAA35979.1
P12773,efetch_failed,J04815,AAA68136.2
P47147,ok,Z49610,CAA89640.1
Q9W0I6,ok,AE014296,AAF47460.1
A2SL95,ok,CP000555,ABM96334.1
P9WFV7,ok,AL123456,CCP45145.1
Q6AHF7,ok,AE016822,AAT88188.1
C4XS53,ok,AP010904,BAH75575.1
P47180,ok,AB011818,BAA25103.1
Q5B508,ok,AACD01000076,EAA60289.1
Q5ATQ3,ok,AACD01000150,EAA66950.1
P26214,ok,X58893,CAA41694.1
Q12708,ok,L12023,AAC14466.1
Q65R50,efetch_failed,AE016827,AAU38560.1
A1U339,ok,CP000514,ABM19408.1
P30318,ok,D11476,BAA02036.1
Q8FW50,ok,AE014292,AAN33804.1
O08307,ok,Y12328,CAA72997.1
P54202,ok,Z48000,CAA88034.1
P9WQC7,ok,AL123456,CCP43508.1
Q8K983,ok,AE013218,AAM68009.1
N4WW42,ok,AF525909,ACP34153.1
P86883,no_embl_cds_xref,,
Q556F2,ok,AAFI02000012,EAL70308.1
P00332,ok,CU329672,CAA21782.1
P37161,ok,AM412869,CAL85492.1
P11941,ok,AF322106,AAG45933.1
P48816,ok,L37416,AAB40947.1
P16009,ok,X15728,CAA33749.1
O30186,ok,AE000782,AAB91181.1
A0B742,ok,CP000477,ABK14516.1
B6YUL1,ok,CP000855,ACJ16047.1
Q12WC8,ok,CP000300,ABE52248.1
O74975,ok,CU329672,CAA19310.3
Q9ZV56,ok,AF165912,AAD45922.1
Q811Q9,ok,AY189949,AAO39004.1
